publishedAt,authorDisplayName,textDisplay,likeCount
2024-11-03T16:02:53Z,@putrisopyan5211,Knp yanggg itu jwbnnya 48.000 msih ngg ngerti 😭,0
2024-11-03T13:25:51Z,@lisagurly,nyadar ga sii angga yunanda sama syifa hadju mreka kalo nulis kidal 😅,0
2024-11-03T08:42:19Z,@SpiderBoy-pv1lk,liat thumbnail kirain bhisma smash anjoyy,0
2024-11-03T03:51:36Z,@nabilahpriyatna1678,BANG JEROM COLLAB SAMA ABDUR ARSYAD PLIS S2 MTK BELIAU,0
2024-11-03T01:34:36Z,@sultanpoenya,"Anak saya juga jago matematika kak,, umur masih 6 tahun kurang, jago perkalian rapukuhan, ratusan, b",0
2024-11-03T01:36:10Z,@sultanpoenya,"Jago operasi penjumlahan dan perkalian hingga ratusan ribuan, jutaan,, bisa dibattle bakak",0
2024-11-02T23:17:21Z,@gyuuundhis,Seruuu bangggg,0
2024-11-02T12:41:56Z,@Novemberyo,Jerr kepengen liat lo collab bareng nabila taqiyyah dongg,1
2024-11-02T09:05:09Z,@dinapratiwi576,"Angga bermain logika dlm berhitung. Kren sih. Jd sblum dia menulis, dia sdh main logikanya dikepala hehe 😅",0
2024-11-02T01:37:18Z,@silvianisaekasanty701,angga yunanda lucu kalo kumisan gemess,0
2024-11-02T03:00:05Z,@rhmaaan3910,hi,0
2024-11-01T15:37:28Z,@safinakadhim3484,Kumisan pangling,0
2024-11-01T14:35:47Z,@heribertus9427,mantap bang,0
2024-11-01T12:54:12Z,@UmiSalamah-np8hi,Jer Collab sama Salma salsabil yokk😭,0
2024-11-01T11:00:32Z,@febyrahmat1080,"Padahal sederhana. Baru nyadar kalo harga asli itu kebalikan dari diskon persen. Tau gitu ga ribet ngitung kalo belanja. Dulu sekolah, gurunya gada yg ngasih trik dan gada youtube jg. Jadi cuma ikuti rumus haaa",0
2024-11-01T09:25:29Z,@yahdabaihakialimin2213,"Bang, saran. Yg di soal untung, rugi, diskon itu baiknya diimprove lg cara jelasinnya. Kalo aku dulu belajar, narasi guruku gini. Harga asli itu nilainya 100%. Kalo soal bilang barang diberi diskon 20%, artinya yg kita bayar 100%-20% = 80%, jadi total yg dibayar adl 80% dikali harga.   Kalo soal diberi tahu harga jual seetlah diskon sebesar 20% menjadi 64.000, guruku jelasinnya, harga setalah diskon artinya harga awal dikurangi diskon = 100%-20% = 80%.  Jadi harga setelah diskon yg 64.000 itu adl 80% harga awal. Yg kita cari berapa harga awalnya. Gitu sih dulu guruku ngajarin",0
2024-11-01T02:58:35Z,@meraryn1153,Plis jadiin Angga BA Mantapu Academy,0
2024-11-01T00:38:35Z,@mistermji,"<a href=""https://m.youtube.com/@mistermji"">https://m.youtube.com/@mistermji</a>",0
2024-10-31T23:34:32Z,@azivkcchannel3030,beda ya kalo artis dari daera dan berprestasi tadinya:V,0
2024-10-31T18:29:22Z,@andizevillio937,Gw gak bakal mau jd bintang tamu kalo acaranya tentang matematika 😂. Baru liat angka nya aja udh mau mabok gw sangking begonya gw kwkwkwkwkw,0
2024-10-31T17:07:30Z,@lnsprzl,"Pas di soal cerita terlalu cepetan bagi aku yg loading nya 2G 😂, jadinya aku jedain dulu baru hitung sndri kalau udah sesuai baru lanjutin lagi. Menyala otakku🔥😭😂",0
2024-10-31T15:57:47Z,@nnco5350,"<a href=""https://www.youtube.com/watch?v=c6ULhl5UU0k&amp;t=531"">8:51</a> meremehkan orang banget dah jer😏",3
2024-10-31T13:59:16Z,@alfian9459,Orangtuanya dua² nya kepala sekolah,0
2024-10-31T12:40:34Z,@Mahathirahmad03,collab sama abdur komika,0
2024-10-31T11:54:56Z,@earlywantabe3912,Gw matematika kek gitu harga2 sabi lah ga pake ngitung wqwq tp klo lainya ampun dah,0
2024-10-31T10:08:52Z,@jamiatunihsaniah,Bangga bnget anak lombok bisa sekeren itu...nggak cuma ganteng pinter acting pinter lagii...angga emang top...membawa nama lombok,0
2024-10-31T07:02:57Z,@iissyabani5741,Suamiku dah nontn curang bareng temen2ny jd penasaran sama my annoying brother,0
2024-10-31T06:16:14Z,@MrWeird-sl6nf,BANG KANGEN SUTAN!!!,0
2024-10-31T05:44:12Z,@kamusaua667,"Matematika, sangat penting dalam kehidupan sehari-hari.<br>Tapi paling sering dihindari oleh kebanyakan orang 😂",0
